Plant,Scientific Name,Description,Climate,Harvest,Altitudes,Rainfall,Photo Link
Rice,Oryza sativa,"Oryza sativa is commonly known as rice and is the plant species most commonly referred to English as rice. it is the type of farmed rice whose cultivars are most common globally and was first domesticated in the Yangtze River basin in China 13,500 to 8,200 years ago. Rice is a staple food for billions of people worldwide and provides a livelihood for one fifth of the world's population",21-37°C,130 days,< 1200 mdpl,1750-3000 mm/year,https://ketahananpangan.semarangkota.go.id/v3/content/images/Padi.jpg
Maize,Zea mays,"Maize or commonly called corn is a food plant that contains carbohydrates and is important in the world. Corn is a staple food source after wheat and rice. Corn plants are not only able to adapt in low temperatures and high areas, but also in low areas with warm temperatures. Corn needs direct sunlight to grow normally. Maize cultivation relies heavily on good irrigation and sufficient water availability",23-27 °C,80-110 days,0-1200 mdpl,85-200 mm/month,https://cdn.britannica.com/65/120965-050-1A70BF40/Corn.jpg
Chickpea,Cicer arietinum,Chickpea (Cicer arietinum) is a plant that belongs to the Fabaceae tribe which produces small yellowish pods. Chickpea is rich in protein and is one of the most ancient cultivated plants. Chickpea is a food ingredient that has many health benefits because it is rich in fiber. Chickpea cultivation remains found in the Middle East are 7500 years old. Chickpea grow well in dry soil so they need little water.,24-30 °C,100 days,1500 - 2600 mdpl,650-950 mm/year,https://cdn.mos.cms.futurecdn.net/mmrjcWoheuvmnucbNy246i.jpg
Pigeon Peas,Cajanus cajan,"The pigeon pea is a perennial legume from the family Fabaceae native to the Old World. The pigeon pea is widely cultivated in tropical and semitropical regions around the world, being commonly consumed in South Asia, Southeast Asia, Africa, Latin America and the Caribbean. Pigeon peas contain high levels of protein. This plant is relatively heat resistant and can live in dry soil. This plant has a fine hairy stem and many branches.
",18-30 °C,100 days,≥ 700 mdpl,600-1000mm/year,https://tropicalplantae.com/wp-content/uploads/2020/04/0ACF1C03-B841-447E-9CB0-F6BE0D7174EE.jpeg
Mothbeans,Vigna aconitifolia,"Mothbeans is a drought-resistant legume, commonly grown in arid and semi-arid regions of India. Moth bean belongs to the family Fabaceae and genus Vigna. It is an herbaceous creeping annual that creates a low-lying soil cover when fully grown.The sprouts and protein-rich seeds of this crop are commonly consumed in India. Moth bean can be grown on many soil types, and can also act as a pasture legume. Moth bean is a creeping annual herbaceous plant which grows to approximately 40 cm high.",24-32 °C,75-90 days,1300 mdpl,500-750 mm/year,https://www.feedipedia.org/sites/default/files/images/Vigna-aconitifolia_leaves%26flowers-MJussoorie%20Chakrata%20road%20near%20Bharatkhai-1-DSC09876.jpg
Mungbean,Vigna radiata,"Mungbean is a plant species in the legume family. The mung bean is mainly cultivated in East, Southeast and South Asia. Mung beans can be processed into sweet or salty dishes. Mung bean has a well-developed root system. The lateral roots are many and slender, with root nodules grown. Stems are much branched, sometimes twining at the tips. Mung bean is a warm season and frost-intolerant plant.",25-27 °C,60 days,1300 mdpl,5-700 mm/year,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Mung_bean_%28Vigna_radiata%29_Dired_open_Pod_in_Hong_Kong.JPG/220px-Mung_bean_%28Vigna_radiata%29_Dired_open_Pod_in_Hong_Kong.JPG
Kidneybeans,Phaseolus vulgaris,"The kidney bean is a variety of the common bean. Common kidney bean also known as red kidney bean. Kidney beans are a tasty addition to many dishes and kinds of cuisine, and they can be grown easily in your own garden at home. When they are harvested, kidney beans must be dried out because of their high levels of phytohemagglutinin, which can cause white blood cells to clump. Kidney beans grow and develop well in warm temperatures",19-24 °C,100-140 days,1000-1500 mdpl,1500-2500 mm/year,https://samsgardenstore.com/wp-content/uploads/2023/04/WhatsApp-Image-2022-07-06-at-7.05.22-PM.jpeg
Blackgram,Vigna mungo,"Black gram originated in South Asia, where it has been in cultivation from ancient times and is one of the most highly prized pulses of India. It is very widely used in Indian cuisine. It is an erect, suberect or trailing, densely hairy, annual bush. The tap root produces a branched root system with smooth, rounded nodules. Black gram is also said to promote heart, liver, gut health, and bone health besides lowering blood sugar levels. Planting black gram in the field will increase soil fertility by fixing atmospheric nitrogen in the soil.",25-35 °C,60-90 days,800 mdpl,600-700 mm/year,https://www.agrifarming.in/wp-content/uploads/2015/04/Black-Gram-Production..jpg
Lentil,Lens culinaris,"Lentil or Lens culinaris is an edible legume. It is an annual plant known for its lens-shaped seeds. It is about 40 cm (16 in) tall, and the seeds grow in pods, usually with two seeds in each. Lentils are used around the world for culinary purposes. In cuisines of the Indian subcontinent, where lentils are a staple, split lentils (often with their hulls removed) known as dal are often cooked into a thick curry/gravy that is usually eaten with rice or rotis. Elsewhere, such as in Iran, Ethiopia, the Americas and Europe, lentils are used in stews and soups.",18-30°C,110 days,> 1800 mdpl,300-450 mm/year,https://s3g2u3k4.rocketcdn.me/wp-content/uploads/sites/4/2017/09/lentil.jpg
Pomegrannate,Punica granatum,"Pomegranate (Punica granatum) is a fruit-bearing deciduous shrub in the family Lythraceae, subfamily Punicoideae, that grows between 5 and 10 m (16 and 33 ft) tall. The pomegranate was originally described throughout the Mediterranean region. It was introduced into Spanish America in the late 16th century and into California by Spanish settlers in 1769. The fruit is typically in season in the Southern Hemisphere from March to May, and in the Northern Hemisphere from September to February.",25-35 °C,120-130 days,500-900 mdpl,500-800 mm/year,https://www.fromthegarden.co.za/wp-content/uploads/2020/10/grafted-pomegranate-tree-2.jpg
Banana,Musa sp,"Banana is the general name given to a large herb plant with large elongated leaves that grow directly from the stalk. Banana stem is soft because it is formed from a layer of soft and long fronds. In taxonomy, bananas belong to the genus Musa and the family Musaceae. Bananas can be harvested at any time because they can adapt to all seasons. Bananas can thrive in the dry season. The majority of the existence of banana plants is centered in Indonesia.",15-35 °C,90-120 days,0-1000 mdpl,1500-2500 mm/year,https://gardenerspath.com/wp-content/uploads/2019/12/Banana-Plant-with-Ripe-Fruit.jpg
